Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
perkDeadEyeRank1LongDesc,progression,perk Per,,,"Pot Shot. You can hit the broad side of a barn and do 10% more damage with rifles. Aim 10% faster and reload 12% faster.",,"Blindes Huhn. Du kannst die lange Seite einer Scheune treffen und verursachst 10 % mehr Schaden mit Gewehren. Zielen Sie 10 % schneller und laden Sie 12 % schneller nach.",,,,,,,,,,,,,
perkDeadEyeRank2LongDesc,progression,perk Per,,,"You are a rifleman and can hit a large rock at 30 yards. Rifles deal 20% more damage, aim 20% faster, reload 19% faster.",,"Du bist ein Hobbyschütze und kannst einen großen Stein auf 30 m Entfernung treffen. Gewehre verursachen 20 % mehr Schaden, zielen 20 % schneller und laden 19 % schneller nach.",,,,,,,,,,,,,
perkDeadEyeRank3LongDesc,progression,perk Per,,,"You are now a marksman and can hold your own. Rifles deal 30% more damage, aim 32% faster, reload 26% faster, and use 10% less stamina while aiming down the sights.\nKill Streak: Successive kills increase damage bonus by 10%, 20% to a maximum of 30%.",,"Du bist ein Schütze und kannst selbst auf dich aufpassen. Gewehre verursachen 30 % mehr Schaden, zielen 32 % schneller, laden 26 % schneller nach, und verbrauchen 10 % weniger Ausdauer beim Zielen nach unten.\nKill-Serie: Aufeinanderfolgende Kills erhöhen den Schadensbonus um 10 %, 20 % bis maximal 30 %.",,,,,,,,,,,,,
perkDeadEyeRank4LongDesc,progression,perk Per,,,"You are now a sharpshooter. Rifles deal 40% more damage, aim 45% faster, reload 33% faster, and use 20% less stamina while aiming down the sights.\nKill Streak: Successive kills increase damage bonus by 20%, 30% to a maximum of 40%.",,"Du bist gefährlich wie ein Heckenschütze. Gewehre verursachen 40 % mehr Schaden, zielen 45 % schneller, laden 33 % schneller nach, und verbrauchen 20 % weniger Ausdauer beim Zielen nach unten.\nKill-Serie: Aufeinanderfolgende Kills erhöhen den Schadensbonus um 20 %, 30 % bis maximal 40 %.",,,,,,,,,,,,,
perkDeadEyeRank5LongDesc,progression,perk Per,,,"Dead Eye: Through all the hard training and countless shooting, you are now a dead eye sniper. Rifles deal 50% more damage, aim 60% faster, reload 40% faster, and use 30% less stamina while aiming down the sights.\nKill Streak: Successive kills increase damage bonus by 30%, 40% up to a maximum of 50%.",,"Präzisionsschütze: Nach all dem harten Training und zahllosen Schüssen bist du ein begabter Präzisionsschütze. Gewehre verursachen 50 % mehr Schaden, zielen 60 % schneller, laden 40 % schneller nach, und verbrauchen 30 % weniger Ausdauer beim Zielen nach unten.\nKill-Serie: Aufeinanderfolgende Kills erhöhen den Schadensbonus um 30 %, 40 % bis maximal 50 %.",,,,,,,,,,,,,

perkPackMuleRank1LongDesc,progression,perk Str,,,"Who has time to organize their stuff perfectly? Carry four more items without being encumbered.",,,,,,,,,,,,,
perkPackMuleRank2LongDesc,progression,perk Str,,,"You know it's in there somewhere. Carry an additional four more items without being encumbered.",,,,,,,,,,,,,
perkRuleOneCardioNameRank4Desc,progression,perk For,,,Ultra Triathlete,,Ultra-Triathlet,Ultra Triatleta,Ultra Triathlète,Ultratriatleta,ウルトラトライアスリート,울트라 트라이애슬론 선수,Ultratriatlonista,Ultra Triatleta,ультра триатлет,Ultra Triatlon Koşucusu,超级铁人三项,超級鐵人三項,Ultra Triatleta
perkRuleOneCardioNameRank4LongDesc,progression,perk For,,,You can run from coast to coast and barely break into a sweat. Increase stamina regen by 40% when sprinting.,,Erhöht die Ausdauerwiederherstellung beim Sprinten um 40 %.,Aumenta la regeneración de la resistencia en un 40 % al correr.,Vous augmentez votre régénération d'endurance de 40 % lorsque vous sprintez.,Aumenta la rigenerazione del vigore del 40% quando scatti.,ダッシュ中のスタミナ回復が40%増加。,전력 질주 시 스태미너 재생성이 40% 증가합니다.,Zwiększ regenerację wytrzymałości o 40% podczas sprintu.,Aumenta em 40% a regeneração de vigor ao correr.,Повышайте восстановление выносливости при беге на 40%.,Depar atarken dayanıklılık yenilemesini %40 artır.,冲刺时体力再生速度加快40%。,衝刺時增加 40% 的耐力恢復值。

perkGunslingerRank1LongDesc,progression,perk Agi,,,"You're no Wyatt Earp but you're better than the average drifter. Handguns deal 10% more damage, 5% faster fire rate, and 15% faster reload with handguns.\nFind more handguns, parts, and 9mm ammo in loot.",,"Du bist kein Wyatt Earp, aber immerhin besser als die meisten anderen Landstreicher. Handfeuerwaffen verursachen 10 % mehr Schaden, feuern 5 % schneller ab und laden 15 % schneller nach.\nFinde mehr Handfeuerwaffen, Teile und 9-mm-Munition in der Beute.",,,,,,,,,,,
perkGunslingerRank2LongDesc,progression,perk Agi,,,"You are making a name for yourself, outlaw. Handguns deal 20% more damage, 10% faster fire rate, and reload 22.5% faster with handguns.\nFind more handguns, parts, and 9mm ammo in loot.",,"Du machst dir langsam einen Namen, Bandit. Handfeuerwaffen verursachen 20 % mehr Schaden, feuern 10 % schneller ab und laden 22.5 % schneller nach.\nFinde mehr Handfeuerwaffen, Teile und 9-mm-Munition in der Beute.",,,,,,,,,,,
perkGunslingerRank3LongDesc,progression,perk Agi,,,"You can keep most situations under control, sheriff. Handguns deal 30% more damage, 15% faster fire rate, and reload 30% faster. Critical Damage: 5 successive hits in a short time cause critical damage.\nFind more handguns, parts, and 9mm ammo in loot.",,"Du hast die meisten Situationen unter Kontrolle, Sheriff. Handfeuerwaffen verursachen 30 % mehr Schaden, feuern 15 % schneller ab und laden 30 % schneller nach. Kritischer Schaden: 5 aufeinanderfolgende Treffer in kurzer Zeit verursachen kritischen Schaden.\nFinde mehr Handfeuerwaffen, Teile und 9-mm-Munition in der Beute.",,,,,,,,,,,
perkGunslingerRank4LongDesc,progression,perk Agi,,,"You're now a gunfighter and can clear out a saloon full of rowdy bastards at the drop of a hat. Handguns deal 40% more damage, 20% faster fire rate, and reload 37.5% faster. Critical Damage: 4 successive hits in a short time cause the last shot to do 100% extra damage.\nFind more handguns, parts, and 9mm ammo in loot.",,"Als richtiger Pistolero nimmst du es locker mit einem Saloon voller schäbiger Lumpen auf. Handfeuerwaffen verursachen 40 % mehr Schaden, feuern 20 % schneller ab und laden 37.5 % schneller nach. Kritischer Schaden: 4 aufeinanderfolgende Treffer in kurzer Zeit bewirken, dass der letzte Schuss 100 % zusätzlichen Schaden anrichtet.\nFinde mehr Handfeuerwaffen, Teile und 9-mm-Munition in der Beute.",,,,,,,,,,,
perkGunslingerRank5LongDesc,progression,perk Agi,,,"You are the fastest gunslinger in Navezgane. Handguns deal 50% more damage, 25% faster fire rate, and 45% faster reload with handguns. Critical Damage: 3 successive hits in a short time cause the last shot to do 100% extra damage.\nFind more handguns, parts, and 9mm ammo in loot.",,"Du bist der schnellste Revolverheld in ganz Navezgane. Handfeuerwaffen verursachen 50 % mehr Schaden, feuern 25 % schneller ab und laden 45 % schneller nach. Kritischer Schaden: 3 aufeinanderfolgende Treffer in kurzer Zeit bewirken, dass der letzte Schuss 100 % zusätzlichen Schaden anrichtet.\nFinde mehr Handfeuerwaffen, Teile und 9-mm-Munition in der Beute.",,,,,,,,,,,

perkBoomstickRank1LongDesc,progression,perk Str,,,"Maybe your aim isn't so good or you just like doing a lot of damage up close and personal. Either way a hobo with a shotgun is not to be messed with. Shotguns deal 10% more damage, 10% faster fire rate, and 20% faster reload. Stun enemies for 6 seconds.\nIncreases chance to dismember by 5%.",,"Vielleicht kannst du nicht gut zielen, vielleicht fügst du deinen Gegnern auch einfach gerne aus nächster Nähe viel Schaden zu. So oder so geht man einem Penner mit Schrotflinte besser aus dem Weg. Schrotflinten verursachen 10 % mehr Schaden, feuern 10 % schneller und laden 20 % schneller nach. Betäube Feinde für 6 Sekunden.\nErhöht die Chance auf Zerstückelung um 5 %.",,,,,,,,,,,
perkBoomstickRank2LongDesc,progression,perk Str,,,"Roaming the wastelands as a nomad have improved your abilities with shotguns. Shotguns deal 20% more damage, 20% faster fire rate, and 30% faster reload.\nIncreases chance to dismember by 10%.",,"Auf deinen Streifzügen durch das Ödland hat sich dein Geschick mit Schrotflinten verbessert. Schrotflinten verursachen 20 % mehr Schaden, feuern 20 % schneller und laden 30 % schneller nach.\nErhöht die Chance auf Zerstückelung um 10 %.",,,,,,,,,,,
perkBoomstickRank3LongDesc,progression,perk Str,,,"If shotgun meets were still a thing, you'd be hitting those clay ducks and be considered a shotgun pro. Shotguns deal 30% more damage, 30% faster fire rate, and 40% faster reload. Stun enemies for 8 seconds.",,"Wenn Schrotflintentreffen noch üblich wären, wäre keine Tontaube vor dir sicher und du würdest als Schrotflintenprofi gelten. Schrotflinten verursachen 30 % mehr Schaden, feuern 30 % schneller und laden 40 % schneller nach. Betäube Feinde für 8 Sekunden.",,,,,,,,,,,
perkBoomstickRank4LongDesc,progression,perk Str,,,"You are now very deadly with a shotgun and considered a shotgun master and master of the shotgun. Shotguns deal 40% more damage, 40% faster fire rate, and 50% faster reload.",,"Du bist jetzt sehr tödlich mit Schrotflinten und hast den Ruf eines Schrotflintenmeisters. Schrotflinten verursachen 40 % mehr Schaden, feuern 40 % schneller und laden 50 % schneller nach.",,,,,,,,,,,
perkBoomstickRank5LongDesc,progression,perk Str,,,"You've ascended to the legendary status of Shotgun Messiah, as you are the last thing they see before meeting their maker. Shotguns deal 50% more damage, 50% faster fire rate, and a 60% faster reload.\nLegs shots cripple opponents.",,"Du bist zum legendären Schrotflinten-Messias aufgestiegen, denn du bist das Letzte, das deine Gegner sehen, bevor sie das Zeitliche segnen. Schrotflinten verursachen 50 % mehr Schaden, feuern 50 % schneller und laden 60 % schneller nach.\nSchüsse in die Beine lähmen Gegner.",,,,,,,,,,,

perkLockPickingName,progression,perk Per,,,Prepper Lockpicking,,Prepper Schlösserknacken,,,,,,,,,,,
perkLockPickingRank1Desc,progression,perk Per,,,Cat Burglar,,Fassadenklettere,,,,,,,,,,,
perkLockPickingRank1LongDesc,progression,perk Per,,,"Cat Burglar. You are starting to make a name for yourself. You can pick locks 33% faster and have a 25% lower chance to break lockpicks.",,"Fassadenklettere. Du fängst an, dir einen Namen zu machen. Du kannst Schlösser 33 % schneller knacken und hast eine um 25 % geringere Chance, Dietriche abzubrechen.",,,,,,,,,,,
perkLockPickingRank2Desc,progression,perk Per,,,Fort Knox Lock Smith,,Fort Knox Schlüsseldienst,,,,,,,,,,,
perkLockPickingRank2LongDesc,progression,perk Per,,,"You are now a Fort Knox lock smith and few locks will keep you out. You can pick locks 66% faster and have a 50% lower chance to break lockpicks.",,"Du bist jetzt ein Fort Knox Schlosser und nur noch wenige Schlösser halten dich auf. Du kannst Schlösser 66 % schneller knacken und hast eine 50 % geringere Chance, Dietriche zu zerbrechen.",,,,,,,,,,,
perkLockPickingRank3Desc,progression,perk Per,,,Prepper Safe Cracker,,Prepper Tresorknacker,,,,,,,,,,,
perkLockPickingRank3LongDesc,progression,perk Per,,,"You are now a world class prepper safe cracker. Pick locks 100% faster and have a 75% lower chance to break lockpicks.",,"Du bist jetzt ein Prepper Weltklasse-Tresorknacker. Knacken Sie Schlösser 100 % schneller und haben Sie eine 75 % geringere Chance, Dietriche abzubrechen.",,,,,,,,,,,

perkTreasureHunterName,progression,perk Per,,,Prepper Stash Hunter,,Prepper Schatzsucher,,,,,,,,,,,
perkTreasureHunterRank4Desc,progression,perk Per,,,Bloodhound,,Bluthund,,,,,,,,,,,
perkTreasureHunterRank4LongDesc,progression,perk Per,,,"For every 2 blocks dug up the treasure search radius is reduced by 1m.\nFind 40% more items in buried treasure.",,"Für jeweils 2 ausgegrabene Blöcke verringert sich der Schatzsuche-Radius um 1 m.\nDu kannst 40 % mehr Gegenstände in vergrabenen Schätzen finden.",,,,,,,,,,,
perkTreasureHunterRank5Desc,progression,perk Per,,,Prepper Stash Hunter,,Prepper Schatzsucher,,,,,,,,,,,
perkTreasureHunterRank5LongDesc,progression,perk Per,,,"For every 1 blocks dug up the treasure search radius is reduced by 1m.\nFind 50% more items in buried treasure.",,"Für jeweils 1 ausgegrabene Blöcke verringert sich der Schatzsuche-Radius um 1 m.\nDu kannst 50 % mehr Gegenstände in vergrabenen Schätzen finden.",,,,,,,,,,,

perkTurretsRank1LongDesc,progression,perk Int,,,"You have some crazy innovative ideas but your implementation could use some work. Robotic weapons deal 10% more damage, 30% faster fire rate and reload an extra 15 rounds. Robot active range is increased from 10 to 12 meters.\nYou can deploy multiple robots but only the closest will be active.",,"Sie haben einige verrückte, innovative Ideen, aber Ihre Umsetzung könnte etwas Arbeit vertragen. Roboterwaffen verursachen 10 % mehr Schaden, haben eine 30 % schnellere Feuerrate und können 15 Schuss mehr nachladen. Die aktive Reichweite der Roboter wird von 10 auf 12 Meter erhöht. Sie können mehrere Roboter einsetzen, aber nur der nächstgelegene ist aktiv.",,,,,,,,,,,
perkTurretsRank2LongDesc,progression,perk Int,,,"You are taking your projects to the next level now. Robotic weapons deal 20% more damage, 60% faster fire rate and reload an extra 30 rounds. Robot active range is 14 meters.",,"Sie bringen Ihre Projekte jetzt auf die nächste Stufe. Roboterwaffen verursachen 20 % mehr Schaden, haben eine 60 % schnellere Feuerrate und laden 30 Schuss mehr nach. Die aktive Reichweite der Roboter beträgt 14 Meter.",,,,,,,,,,,
perkTurretsRank3LongDesc,progression,perk Int,,,"You have mastered the basics of automated weaponry. Robotic weapons deal 30% more damage, 90% faster fire rate and reload an extra 45 rounds. Robot active range is 16 meters.",,"Sie beherrschen die Grundlagen der automatischen Waffentechnik. Roboterwaffen verursachen 30 % mehr Schaden, haben eine 90 % schnellere Feuerrate und laden 45 Schuss mehr nach. Die aktive Reichweite von Robotern beträgt 16 Meter.",,,,,,,,,,,
perkTurretsRank4LongDesc,progression,perk Int,,,"You must be from the year 2077. You are creating some futuristic technology. Robotic weapons deal 40% more damage, 120% faster fire rate and reload an extra 60 rounds. Reload robot weapons 10% faster. Robot active range is 18 meters.\nTwo deployed robots can be active at once.",,"Sie müssen aus dem Jahr 2077 stammen. Sie entwickeln eine futuristische Technologie. Roboterwaffen verursachen 40 % mehr Schaden, haben eine 120 % schnellere Feuerrate und laden 60 Schuss mehr nach. Roboterwaffen lassen sich 10 % schneller nachladen. Die aktive Reichweite der Roboter beträgt 18 Meter. Zwei Roboter können gleichzeitig aktiv sein.",,,,,,,,,,,
perkTurretsRank5LongDesc,progression,perk Int,,,"You are now a top expert in robotics. Craft ultimate quality 6 robots. Reload robotic weapons 20% faster and reload an extra 75 rounds. Robot active range is 20 meters.\nThree deployed robots can be active at once.",,"Du bist jetzt ein Top-Experte in der Robotik. Stellen Sie 6 Roboter in höchster Qualität her. Lade Roboterwaffen 20% schneller nach und lade zusätzlich 75 Schuss nach. Die aktive Reichweite der Roboter beträgt 20 Meter.\nDrei eingesetzte Roboter können gleichzeitig aktiv sein.",,,,,,,,,,,

perkTechJunkie5RepulsorLongDesc,progression,perk  book,,,"Stun Repulsor Mod: Craft a stun repulsor mod for stun batons or steel spears and send zombies flying on the charged hit.",,"Schock-Rückschlag-Mod: Fertige einen Schock-Rückschlag-Mod für Schockstäbe oder einem Stahlspeer und jage Zombies mit einem aufgeladenen Treffer in die Luft.",,,,,,,,,,,

perkDaringAdventurerDesc,progression,perk Int,,,Be a daring prepper adventurer!\nGet better rewards for doing quests.,,Sei ein wagemutiger prepper Abenteurer!\nErhalte bessere Belohnungen für Quests.,¡Sé un aventurero temerario!\nConsigue mejores recompensas por completar misiones.,Osez l'aventure !\nObtenez de meilleures récompenses en accomplissant vos quêtes.,Sii un avventuriero coraggioso!\nOttieni ricompense migliori per le missioni.,勇敢な冒険者になりましょう！\nクエストをしてもっと豪華な報酬を手に入れましょう。,대담한 모험가가 되세요!\n퀘스트를 완료하면 더 좋은 보상을 받습니다.,Śmiało wyruszaj na każdą przygodę!\nZdobywaj lepsze nagrody za realizację zadań.,Seja um aventureiro audacioso!\nReceba recompensas melhores por concluir missões.,Будьте дерзким авантюристом!\nВыполняйте задания и получайте лучшие награды.,Cesur bir maceracı ol!\nGörev yaparak daha iyi ödüller kazan.,做一名大胆的冒险家！\n去领取任务，获得奖励吧。,成爲勇敢的冒險家！\n完成任務後獲得更大的獎勵。
perkDaringAdventurerName,progression,perk Int,,,The Daring Prepper Adventurer,,Der doppelter wagemutige Abenteurer,El aventurero temerario,L'aventurier téméraire,L'avventuriero coraggioso,勇敢な冒険者,대담한 모험가,Śmiały poszukiwacz przygód,O Aventureiro Audacioso,Дерзкий авантюрист,Cesur Maceracı,大胆的冒险家,勇敢的冒險家
perkDaringAdventurerRank5Desc,progression,perk Int,,,Daring Prepper Adventurer,,Wagemutiger Prepper Abenteurer,,,,,,,,,,,,,
perkDaringAdventurerRank5LongDesc,progression,perk Int,,,"You are the daring prepper adventurer!\nGain access to better trader items and get 25% more dukes.\nPick two quest rewards for your daring efforts.",,"Du bist ein kühner prepper Abenteurer!\nErhalte Zugang zu besseren Händlergegenständen und erhalte 25 % mehr Dukes.\nWähle zwei Questbelohnungen für deine kühnen Bemühungen.",,,,,,,,,,,

perkPrepperExperienceDesc,progression,perk Str,,,This skill allows preppers to incorporate past strengths and gain accelerated XP. Use it very sparingly until you are well established.,,Mit dieser Fertigkeit können Prepper frühere Stärken einbringen und schneller Erfahrungspunkte sammeln. Verwenden Sie es sehr sparsam, bis Sie sich gut etabliert haben.,,,,,,,,,,,
perkPrepperExperienceName,progression,perk Str,,,Prepper Strengths,,Prepper-Stärken,,,,,,,,,,,
perkPrepperExperienceRank1Desc,progression,perk Str,,,Donkey,,Esel,,,,,,,,,,,
perkPrepperExperienceRank1LongDesc,progression,perk Str,,,"You can pin a tail on a donkey if you go up a bit, and diligently try to avoid the butt hole. Gain +30% XP.",,"Du kannst einem Esel einen Schwanz anheften, wenn du ein Stück nach oben gehst und fleißig versuchst, das Arschloch zu vermeiden. Gewinnen Sie +30% XP.",,,,,,,,,,,
perkPrepperExperienceRank2Desc,progression,perk Str,,,New Knot,,Neuer Knoten,,,,,,,,,,,
perkPrepperExperienceRank2LongDesc,progression,perk Str,,,"You can readily add new skills to your repetoire from what you learn from those around you. Gain +60% XP.",,"Du kannst deinem Repertoire ohne Weiteres neue Fertigkeiten hinzufügen, die du von deinen Mitmenschen lernst. Erhalte +60% XP.",,,,,,,,,,,
perkPrepperExperienceRank3Desc,progression,perk Str,,,Handy Dandy,,Handy Dandy,,,,,,,,,,,
perkPrepperExperienceRank3LongDesc,progression,perk Str,,,"Years of practice makes new skills come easier to you. Gain +90% XP.",,"Durch jahrelange Übung fallen dir neue Fertigkeiten leichter. Gewinnen Sie +90% XP.",,,,,,,,,,,
perkPrepperExperienceRank4Desc,progression,perk Str,,,Elite Improviser,,Elite-Improvisator,,,,,,,,,,,
perkPrepperExperienceRank4LongDesc,progression,perk Str,,,"People describe you as a cross between B.A. Baracus and MacGyver. Pity the fool who forgets to bring a wrench while looting. Gain +120% XP.",,"Die Leute beschreiben dich als eine Kreuzung aus B.A. Baracus und MacGyver. Erbarmen mit dem Dummkopf, der beim Plündern vergisst, einen Schraubenschlüssel mitzunehmen. Erhalte +120% XP.",,,,,,,,,,,
perkPrepperExperienceRank5Desc,progression,perk Str,,,Alpha Strategist,,Alpha-Stratege,,,,,,,,,,,
perkPrepperExperienceRank5LongDesc,progression,perk Str,,,"Your knowledge and experience allows you to face even the most extreme challenges head on. Gain +150% XP.",,"Ihr Wissen und Ihre Erfahrung ermöglichen es Ihnen, selbst die extremsten Herausforderungen zu meistern. Gewinnen Sie +150% XP.",,,,,,,,,,,

foodT1-5,progression,Attribute,,,Tier 1: Bacon n Eggs and Coffee & Preppo Pack I,,Stufe 1: Speck n Eier und Kaffee & Preppo-Paket I,,,,,,,,,,,
foodT2-5,progression,Attribute,,,Tier 2: Steak and Potato Meal & Preppo Pack II,,Stufe 2: Steak mit Kartoffeln & Preppo-Paket II,,,,,,,,,,,
foodT3-2,progression,Attribute,,,Tier 3: Hobo Stew & Super Meat Stew,,Stufe 3: Penner-Eintopf und Super-Fleisch-Eintopf,,,,,,,,,,,
foodT3-3,progression,Attribute,,,Tier 3: Fish Tacos & Crawfish Boil,,Stufe 3: Fisch-Tacos und Crawfish Boil,,,,,,,,,,,
foodT3-5,progression,Attribute,,,Tier 3: Sham Chowder & Fish Pie,,Stufe 3: Sham-Suppe und Fischpastete,,,,,,,,,,,
foodT4-4,progression,Attribute,,,Tier 4: Spaghetti & Fish Pie Mountain,,Stufe 4: Spaghetti und Fischkuchenberg,,,,,,,,,,,

carlot_02_prepper,POI,POIName,,x,Prepper Carl's Cars,,,,,,,,,,,,,
evildeadcabin01_prepper,POI,POIName,,x,Evil Zed Cabin,,,,,,,,,,,,,
oldwest_apper_01_arramus,POI,POIName,,x,Stinker Strip,,,,,,,,,,,,,
oldwest_bank_01_arramus,POI,POIName,,x,Liberty Bank,,,,,,,,,,,,,
oldwest_blacksmith_01_arramus,POI,POIName,,x,Blacksmith Cabin ,,,,,,,,,,,,,
oldwest_bony_xpress_01_arramus,POI,POIName,,x,Bony Xpress,,,,,,,,,,,,,
oldwest_bricabrac_01_arramus,POI,POIName,,x,Bric-a-Brac,,,,,,,,,,,,,
oldwest_bubbles_01_arramus,POI,POIName,,x,Bubble Trouble,,,,,,,,,,,,,
oldwest_bucksden_01_arramus,POI,POIName,,x,The Buck's Den,,,,,,,,,,,,,
oldwest_cabin_11_TFP,POI,POIName,,x,Cabin Fever 02,,,,,,,,,,,,,
oldwest_cabin_11_TFP_prepper,POI,POIName,,x,Cabin Fever 04,,,,,,,,,,,,,
oldwest_craterfield_01_arramus,POI,POIName,,x,Crater Field,,,,,,,,,,,,,
oldwest_dukepatrol_01_arramus,POI,POIName,,x,Duke Patrol,,,,,,,,,,,,,
oldwest_dukepatrol_01_prepper,POI,POIName,,x,Preppo Duke Patrol,,,,,,,,,,,,,
oldwest_dukepower_01_arramus,POI,POIName,,x,Duke Power,,,,,,,,,,,,,
oldwest_gfv_01_arramus,POI,POIName,,x,Guppy Fried Vulture,,,,,,,,,,,,,
oldwest_gold_01_arramus,POI,POIName,,x,Gold Dealer,,,,,,,,,,,,,
oldwest_gunshop_01_arramus,POI,POIName,,x,Schmitty McGee's,,,,,,,,,,,,,
oldwest_hydroponics_01_arramus,POI,POIName,,x,Homegrown Hydroponics,,,,,,,,,,,,,
oldwest_lyttletrippers_01_arramus,POI,POIName,,x,Stagecoach Terminal,,,,,,,,,,,,,
oldwest_market_01_arramus,POI,POIName,,x,Market,,,,,,,,,,,,,
oldwest_meatloaf_01_arramus,POI,POIName,,x,Meatloaf,,,,,,,,,,,,,
oldwest_mine_01_arramus,POI,POIName,,x,Moley Mine,,,,,,,,,,,,,
oldwest_ministrip_01_arramus,POI,POIName,,x,Drinker Strip,,,,,,,,,,,,,
oldwest_nitrary_01_arramus,POI,POIName,,x,Nitrary Factory,,,,,,,,,,,,,
oldwest_picturehouse_arramus,POI,POIName,,x,Picture House Inferno,,,,,,,,,,,,,
oldwest_preppo_01_arramus,POI,POIName,,x,Eduho & Monik Safehouse,,,,,,,,,,,,,
oldwest_saloon_01_arramus,POI,POIName,,x,Winchester Barroom,,,,,,,,,,,,,
oldwest_schoolfix_01_arramus,POI,POIName,,x,School Stop,,,,,,,,,,,,,
oldwest_specbytes_cems_01_arramus,POI,POIName,,x,Sparks 'n' Hearts,,,,,,,,,,,,,
oldwest_spectabcem_01_arramus,POI,POIName,,x,Wine Mine Fine,,,,,,,,,,,,,
oldwest_stables_01_arramus,POI,POIName,,x,Gee Gee Stables,,,,,,,,,,,,,
oldwest_stables_02_arramus,POI,POIName,,x,Twin Stables,,,,,,,,,,,,,
oldwest_station_01_arramus,POI,POIName,,x,Corner Station Strip,,,,,,,,,,,,,
oldwest_station_02_arramus,POI,POIName,,x,Shipper Station,,,,,,,,,,,,,
oldwest_sweeney_01_arramus,POI,POIName,,x,Todd 'n' Lovett,,,,,,,,,,,,,
oldwest_tobacco_01_arramus,POI,POIName,,x,Old Smokey,,,,,,,,,,,,,
oldwest_woodpecker_01_arramus,POI,POIName,,x,Woodpecker Planks,,Specht Bretter,,,,,,,,,,,
prepper_bunker80_01,POI,POIName,,x,Civic Bunker 0233,,,,,,,,,,,
prepper_countryresidentialbunker01,POI,POIName,,x,Good Neighbor,,,,,,,,,,,,,
prepper_Floppy_Games_Workshop_Medusa,POI,POIName,,x,Floppy Games Workshop,,,,,,,,,,,,,
prepper_house_old_gambrel_03,POI,POIName,,x,Prepper Bob's Boars & Carl's Corn,,,,,,,,,,,,,
prepper_mine80_01,POI,POIName,,x,Hell Hole,,,,,,,,,,,,,
prepper_preppo_bunker42_01,POI,POIName,,x,Preppo Bunkerlands,,,,,,,,,,,,,
prepper_stonecave_01_arramus,POI,POIName,,x,Edes Lets Plays Toy Store,,,,,,,,,,,,,
prepper_wildernesscabin01,POI,POIName,,x,Hirnsturz Cabin,,,,,,,,,,,,,
preppo_army_camp_05,POI,POIName,,x,Preppo Fort Choppa,,,,,,,,,,,,,
preppo_gas_station_09,POI,POIName,,x,Preppo Pass-N-Gas Store #09,,,,,,,,,,,,,
preppo_gas_station_10,POI,POIName,,x,Preppo Pass-N-Gas Store #10,,,,,,,,,,,,,
preppo_installation_red_mesa,POI,POIName,,x,Preppo Red Mesa Compound,,,,,,,,,,,,,
preppo_remnant_gas_station_01,POI,POIName,,x,Preppo Wasted Pass-N-Gas,,,,,,,,,,,,,
preppo_roadside_checkpoint_01,POI,POIName,,x,Preppo NDC Checkpoint One,,,,,,,,,,,,,
preppo_skyscraper_04,POI,POIName,,x,Preppo Builders,,,,,,,,,,,,,
